id,should_trigger,prompt
container-positive-01,true,"Create a production container image for this FastAPI service and validate graceful shutdown."
container-positive-02,true,"Review the Dockerfile and Compose stack for production readiness."
container-positive-03,true,"Reduce this image size and build duration without changing runtime behavior."
container-positive-04,true,"Make this image compatible with non-root execution and a read-only root filesystem."
container-positive-05,true,"The container works locally but exits immediately in Kubernetes; find the container or runtime-contract root cause."
container-positive-06,true,"Build and validate this service for AMD64 and ARM64 from my ARM64 Mac."
container-positive-07,true,"Create a local integration stack for the API PostgreSQL and Redis."
container-positive-08,true,"Review this CUDA inference container for Nebius GPU nodes."
container-positive-09,true,"Add SBOM and provenance requirements to this image build."
container-positive-10,true,"Use container in coordinated-candidate scope for the Dockerfile .dockerignore and compose.test.yaml paths assigned by the scaffold plan."
container-negative-01,false,"Should this application use Kafka or Redpanda?"
container-negative-02,false,"Create a new Python package."
container-negative-03,false,"Write a GitHub Actions workflow to build and publish this image."
container-negative-04,false,"Publish version 1.4.0 of this image."
container-negative-05,false,"Create a Helm chart for this service."
container-negative-06,false,"Start my disposable Ubuntu VS Code container."
container-negative-07,false,"Choose between Kubernetes a managed container service and one Docker host."
container-negative-08,false,"Choose the overall application architecture and technology stack."
