id,should_trigger,prompt
pytest-opt-positive-01,true,"Our pytest suite has 5000 tests and takes 18 minutes; measure collection fixtures calls and teardown then rank safe improvements."
pytest-opt-positive-02,true,"Review our root conftest.py for cumulative fixture cost and whether autouse fixtures or scopes should change."
pytest-opt-positive-03,true,"Pytest collection is slow; inspect plugin loading imports discovery and parametrization before recommending a fix."
pytest-opt-positive-04,true,"Benchmark safe pytest-xdist worker counts and distribution modes without making parallelism the default."
pytest-opt-positive-05,true,"Design a fast pytest feedback lane plus a complete correctness and coverage gate for this large Python service."
pytest-opt-positive-06,true,"Use $optimize-pytest to apply measured fixture and test-classification improvements with like-for-like proof."
pytest-opt-positive-07,true,"Evaluate pytest-xdist testmon and sharding for this pytest CI suite."
pytest-opt-positive-08,true,"Separate pytest startup collection setup call and teardown costs for these tests."
pytest-opt-positive-09,true,"Why is this pytest suite slow?"
pytest-opt-positive-10,true,"Make the pytest portion of CI faster by analyzing selection fixtures parallelism and sharding."
pytest-opt-negative-01,false,"Scaffold a new Python CLI with pytest Ruff and unit and integration test directories."
pytest-opt-negative-02,false,"This test fails intermittently only in CI; find the root cause and fix it."
pytest-opt-negative-03,false,"Review this implementation for bugs maintainability and missing tests."
pytest-opt-negative-04,false,"Profile this production API endpoint and optimize its database queries."
pytest-opt-negative-05,false,"Run the tests for the feature I just implemented."
pytest-opt-negative-06,false,"Rewrite our GitHub Actions workflow permissions and release jobs."
pytest-opt-negative-07,false,"Why are tests slow?"
pytest-opt-negative-08,false,"Fix this flaky slow test."
pytest-opt-negative-09,false,"Make CI faster."
