id,should_trigger,prompt
task-implementer-positive-help,true,"$task-implementer --help"
task-implementer-positive-help-short,true,"$task-implementer -h"
task-implementer-positive-init-current,true,"$task-implementer workspace init"
task-implementer-positive-init-project,true,"$task-implementer workspace init services/example-service"
task-implementer-positive-reuse,true,"$task-implementer workspace reuse services/example-service"
task-implementer-positive-run,true,"$task-implementer run 2026-07-12_1430--add-retries.md"
task-implementer-positive-integrate,true,"$task-implementer integrate services/example-service"
task-implementer-positive-remove,true,"$task-implementer workspace remove services/example-service"
task-implementer-positive-natural-init,true,"Use task-implementer workspace init for this project."
task-implementer-positive-natural-run,true,"Run task-implementer for this managed brownfield prompt through dependency waves."
task-implementer-positive-natural-integrate,true,"Use task-implementer integrate to promote every pending lane generation."
task-implementer-positive-natural-remove,true,"Use task-implementer workspace remove for this idle fully integrated lane."
task-implementer-negative-generic-parallel,false,"Run parallel agents to implement these independent fixes."
task-implementer-negative-prompt-edit,false,"I opened an old Markdown prompt; improve its wording."
task-implementer-negative-one-shot,false,"Implement this small bug fix and run the focused test."
task-implementer-negative-context-only,false,"This is complex; use global-context-management."
task-implementer-negative-review,false,"Review this diff."
task-implementer-negative-sdlc,false,"Start Agentic SDLC for this feature prompt."
task-implementer-negative-commit-pr,false,"Commit the current branch and open a pull request."
task-implementer-negative-unsupported-01,false,"$task-implementer parallel prompts/add-retries.md"
task-implementer-negative-unsupported-02,false,"$task-implementer merge run-123"
task-implementer-negative-unsupported-03,false,"$task-implementer cleanup run-123"
task-implementer-negative-unsupported-04,false,"$task-implementer upgrade run-123"
task-implementer-negative-unsupported-05,false,"$task-implementer workspace new Add retries"
task-implementer-negative-unsupported-06,false,"$task-implementer workspace list"
task-implementer-negative-unsupported-07,false,"$task-implementer workspace open"
task-implementer-negative-unsupported-08,false,"$task-implementer workspace --reuse"
task-implementer-negative-unsupported-09,false,"$task-implementer prepare prompts/add-retries.md"
task-implementer-negative-unsupported-10,false,"$task-implementer continue run-123"
task-implementer-negative-unsupported-11,false,"$task-implementer steer steering.md"
