id,should_trigger,prompt
design-positive-01,true,"Design a new quota-aware preflight for this CLI before we implement it."
design-positive-02,true,"Design SSO for this existing application using research for auth-library due diligence and system-design-rules for the auth boundary, then provide a plan handoff."
design-positive-03,true,"For this greenfield system, research requirements and stack choices, use app-stack for technologies, apply system-design-rules to the solution, and provide a plan handoff."
design-positive-04,true,"Use $design to understand this repository and propose the implementation design for a new background job workflow."
design-positive-05,true,"Before coding, inspect the project documentation and relevant modules, then design the components and implementation plan for this feature."
design-positive-06,true,"Design this three-layer application feature from frontend through API to database, then create the plan handoff."
design-positive-07,true,"Design a new multi-tier application, using app-stack for frontend, API, service runtime, and database technology choices before completing the design."
design-positive-08,true,"Design a customer-support AI product, integrating app-stack for the surrounding application, ai-agent-design for the governed AI subsystem, and its scoped ai-stack component decision before the plan handoff."
design-positive-09,true,"Design an AI operations application by delegating its capability classification, approval policy, and dynamic investigation topology to ai-agent-design, using an agent only for the dynamic loop."
design-positive-10,true,"Design a report pipeline whose unknown page count ends when next_cursor is absent while code owns the continuation rule, keeping it deterministic."
design-positive-11,true,"Design a fixed ingest-validate-approve-execute-verify workflow with month-long waits and compensation, adding no agent unless a model chooses an action or continuation."
design-positive-12,true,"Design a feature for this established application using its approved React, FastAPI, and PostgreSQL stack without reconsidering that stack."
design-positive-13,true,"Design this modernization while keeping the approved frontend and API stack and using app-stack only to reconsider the database technology."
design-positive-14,true,"Troubleshooting proved the causal chain and violated invariant; design the required cross-service ownership change without reopening the diagnosis."
design-negative-01,false,"Brainstorm whether this product idea is worth building."
design-negative-02,false,"Review this ADR against our architecture checklist."
design-negative-03,false,"Choose the smallest application technology stack and classify components as required, conditional, deferred, or rejected."
design-negative-04,false,"Choose an AI stack for hosted models, bounded tools, retrieval, evaluation, and provider portability without designing the surrounding product."
design-negative-05,false,"Run the Agentic SDLC workflow and update docs/design.md for this feature."
design-negative-06,false,"Implement the selected design now."
design-negative-07,false,"Use scaffold-project to apply this already approved component graph."
design-negative-08,false,"This service fails intermittently and we do not know why; find the root cause and repair it."
design-negative-09,false,"The cause is proven and the difficult concurrency fix stays inside one private component boundary and preserves every external contract; fix it without a new architecture."
design-negative-10,false,"Create a pull request for the design changes."
design-negative-11,false,"Design only the provider-neutral agent subsystem behavior, topology, authority, context, recovery, and evaluation contracts; do not design the surrounding product."
