id,should_trigger,prompt
intermittent-ci-01,true,"This integration test fails only in CI about once in 100 runs. Two timeout increases and a retry did not solve it. Find and fix the actual cause."
corrupt-payload-02,true,"The service started returning corrupt payloads after yesterday's deploy, but only for one input shape. Diagnose and repair it."
bash-pipeline-03,true,"This Bash worker occasionally exits zero after a failed pipeline and leaves children running. Reproduce and fix it without adding sleeps."
latency-regression-04,true,"Latency p99 doubled while throughput stayed flat. Compare the last known good release and current release and prove the regression."
docker-load-05,true,"The local Docker stack is healthy after a restart but fails again under load. Find the earliest failing boundary and make a durable non-production repair."
kubernetes-timeout-06,true,"The Kubernetes workload is Ready but requests intermittently time out from one caller. Treat the cluster as read-only and tell me what evidence proves the cause."
platform-crash-07,true,"The installed package works on x86_64 Linux but crashes on arm64 macOS with the same inputs. Identify the relevant environment difference."
production-correlation-08,true,"A production request intermittently fails across three services. Do not change production; correlate one failed request and specify the highest-value next experiment."
bounded-attempts-09,true,"Forty-three repair attempts have run for hours without resolving the same failure. Cap this blocker at five remediation attempts, require new evidence and a new hypothesis before each retry, explain the blocker, and wait for me before continuing."
independent-blocker-10,true,"Five attempts exhausted a parser failure. A later assertion failure is causally independent. Prove the old attempts do not exhaust the new issue, start it at attempt 1, and require human input only after five attempts against that one assertion blocker."
design-handoff-11,true,"This cross-service failure has no proven cause yet. Investigate it first; if the durable remedy turns out to require a new service boundary or data owner, hand the proven diagnosis to the design workflow before anyone implements it."
runtime-evidence-12,true,"This production-only latency regression is scoped to service <service> in project <project> between these UTC timestamps. Use runtime evidence only if it can distinguish the current dependency and saturation hypotheses, and keep production read-only."
explicit-profile-13,true,"$troubleshoot --attempt-limit=10 --time-limit-minutes=180 Diagnose this persistent cross-layer failure, preserve new evidence between repairs, and stop at the configured limit."
slurm-launch-14,true,"Slurm says every node is idle and the controller responds, but jobs fail before launch. Discover the configured architecture and correlate controller, worker, MUNGE, job, journal, kernel, and network logs before proposing a fix."
soperator-activecheck-15,true,"A Soperator GPU ActiveCheck is pending while customer training jobs run. Determine whether it needs a dedicated full-GPU allocation, distinguish it from passive prolog or health checks, and inspect its Kubernetes, Slurm, and log-pipeline evidence."
nebius-storage-16,true,"This Managed Kubernetes workload on Nebius is Ready but one region cannot reach storage. Verify the exact project and resource operation, VPC, node, CSI, OS, network, and storage evidence; keep the target read-only."
deployed-path-17,true,"All unit tests pass, but production throws on one request shape. Reproduce or characterize the deployed code path, inspect its stack trace and inputs, add bounded instrumentation if authorized, and do not call code bug-free until the relevant-path evidence is complete."
combined-solve-18,true,"A combined solve request stays in `troubleshoot` through `PROVEN`; hand off only a system-contract-changing remediation after the causal mechanism is established."
grafana-admission-19,true,"Diagnose this deployed failure, but Grafana readiness must not be used to discover whether useful telemetry might exist; establish non-Grafana matching-signal provenance first."
semicolon-01,false,"Fix this missing semicolon."
formatter-02,false,"Run the formatter and resolve lint warnings."
dependencies-03,false,"Install the dependencies from the lockfile."
rename-04,false,"Rename this class and update its imports."
code-review-05,false,"Review my local diff for maintainability issues."
feature-page-06,false,"Implement the new account settings page."
snapshot-07,false,"Update the expected snapshot because the approved copy changed."
terraform-module-08,false,"Create a Terraform module for this new network."
publish-release-09,false,"Publish the next release."
framework-explanation-10,false,"Explain how this framework's router works."
proven-design-11,false,"The root cause is already proven. Design the replacement service boundary and give me a /plan handoff; do not re-run the investigation because implementation difficulty without a system-contract change must not trigger design."
