id,should_trigger,prompt
app-stack-positive-01,true,"Choose the smallest reliable stack for a B2B SaaS application with an API, authenticated dashboard, PostgreSQL data, email delivery, and nightly reports."
app-stack-positive-02,true,"Review this existing application's stack and identify unnecessary databases, queues, caches, and frontend libraries."
app-stack-positive-03,true,"Decide whether this onboarding process should use Celery or Temporal and what else belongs in the application stack."
app-stack-positive-04,true,"We have FastAPI and PostgreSQL; decide whether webhook retries and reporting need RabbitMQ, Redis, Kafka, or none of them."
app-stack-positive-05,true,"Select between a React framework, a Vite SPA, HTMX, and Streamlit for these UI requirements, then coordinate the implementation."
app-stack-positive-06,true,"Choose a stack for a small authenticated maintenance application with forms, dashboards, image uploads, PostgreSQL records, and nightly reminders."
app-stack-positive-07,true,"Use $app-stack to choose and bootstrap the stack for a cross-platform offline field application with a synchronization backend."
app-stack-positive-08,true,"Modernize this legacy application's stack without keeping compatibility shims."
app-stack-positive-09,true,"Choose the stack for this application and deploy it to the production cluster now, including any paid managed services you recommend."
app-stack-positive-10,true,"Use $app-stack to add one endpoint to this existing FastAPI and PostgreSQL service without changing its approved stack."
app-stack-negative-01,false,"Choose between hosted models and vLLM, select Pydantic AI or LangGraph, and decide whether MCP, A2A, pgvector, and MLflow belong in this AI system."
app-stack-negative-02,false,"Add one FastAPI endpoint to this existing service using its current patterns."
app-stack-negative-03,false,"Research the Kafka consumer protocol in depth."
app-stack-negative-04,false,"Review this ADR against reliability and data-ownership principles."
app-stack-negative-05,false,"Fix this Terraform module for the already-approved application architecture."
app-stack-negative-06,false,"Use scaffold-project to materialize this approved component graph."
app-stack-negative-07,false,"Create a React, TypeScript, and Vite package using these approved versions."
app-stack-negative-08,false,"Add a Dockerfile and local Compose service to this existing Python component."
app-stack-negative-09,false,"Review PR 42 and tell me whether it can merge."
app-stack-negative-10,false,"Run sdlc-start with feature-prompt.md."
