id,should_trigger,prompt
ai-stack-positive-01,true,"Choose the model runtime, agent framework, retrieval layer, and evaluation stack for this AI application."
ai-stack-positive-02,true,"Review whether these capabilities need direct model calls, deterministic workflows, or agents."
ai-stack-positive-03,true,"Choose an effective production stack for a Python RAG assistant with tenant-aware retrieval, two hosted providers, citations, and a three-second p95 target without adding infrastructure before a switch condition."
ai-stack-positive-04,true,"Review our PyTorch fine-tuning stack and decide whether one GPU, DDP, FSDP2, DeepSpeed, or Megatron is justified, including checkpoint and promotion contracts."
ai-stack-positive-05,true,"Select between hosted inference, vLLM, SGLang, and TensorRT-LLM for this exact model, GPU fleet, request-length distribution, prefix reuse, and latency target."
ai-stack-positive-06,true,"Choose an agent stack for bounded tool use, long human approvals, and independently deployed remote agents without installing every candidate framework."
ai-stack-positive-07,true,"Revise our Python agent platform so several providers share a Pydantic AI-first portable runtime while provider-native features, canonical state, authorization, routing, fallback, and specialist boundaries remain explicit."
ai-stack-positive-08,true,"Design a research manager with bounded research, verification, and synthesis specialists and choose among Pydantic AI capabilities, Harness, deterministic fan-out, or a provider-native agent SDK."
ai-stack-positive-09,true,"Classify one-call extraction, a known retrieve-summarize-validate workflow, and a tool loop whose next action depends on the previous result before selecting AI frameworks."
ai-stack-positive-10,true,"Fetch API pages until next_cursor is absent, summarize each page with a model, and publish the report while application code owns pagination and every transition; select the least-agentic stack."
ai-stack-positive-11,true,"Choose orchestration for a fixed ingest-validate-approve-execute-verify process with month-long waits, retries, and compensation where no model chooses actions or continuation."
ai-stack-positive-12,true,"Choose the official OpenAI integrations for independent text reasoning, embedding, and live speech transcription tasks without forcing specialized workloads through one API."
ai-stack-positive-13,true,"Choose the AI integration for an application using Anthropic and Gemini for general agent tasks and Codex for engineering tasks while keeping application data and approvals deterministic."
ai-stack-positive-14,true,"Define the core, SDK, transport, host, App, Task, authorization, and conformance profile for MCP tools, one embedded MCP App, and a long-running export."
ai-stack-positive-15,true,"Simplify this AI platform and decide whether its provider gateway, vector database, long-term memory, multi-agent topology, and Kubernetes deployment are required."
ai-stack-positive-16,true,"Design capability-aware routing and evaluated fallback across hosted and self-hosted providers, deciding whether the portable runtime contracts suffice or a custom provider seam has a proven consumer."
ai-stack-positive-17,true,"Pick the best AI stack and deploy it to production now using any credentials you find and automatic cross-provider fallback."
ai-stack-negative-01,false,"Choose the frontend, API framework, database, and deployment stack for a B2B SaaS product with no AI workload."
ai-stack-negative-02,false,"Research how vLLM implements paged attention and summarize the source code."
ai-stack-negative-03,false,"Design the complete customer-support product, including APIs, data flows, failure handling, rollout, and a plan handoff."
ai-stack-negative-04,false,"Add one Pydantic AI tool to this repository using the approved provider and existing patterns."
ai-stack-negative-05,false,"Use scaffold-project to materialize this approved component graph."
