id,should_trigger,prompt
code-review-positive-01,true,"Review the current local diff for bugs regressions and missing tests."
code-review-positive-02,true,"Use code-review in report-only mode on this module."
code-review-positive-03,true,"Inspect this provided patch for correctness maintainability and reliability risks."
code-review-positive-04,true,"Review the current branch changes and fix only safe in-scope findings."
code-review-positive-05,true,"Do a deep code-quality audit of this diff and look for missed simplifications."
code-review-positive-06,true,"Audit these changed files for reliability risks spaghetti growth bad abstractions and type-boundary issues."
code-review-positive-07,true,"Is this implementation too complicated? Look for a simpler code-judo change."
code-review-positive-08,true,"Review this patch with a strict bar for correctness tests modularity file size and maintainability."
code-review-positive-09,true,"Review this module neutrally and tell me whether any findings should block the local change."
code-review-positive-10,true,"Check this implementation for realistic edge cases and missing failure-path tests."
code-review-negative-01,false,"Review GitHub pull request 42 and report merge readiness."
code-review-negative-02,false,"Review pull request 42 for bugs and regressions without updating its branch."
code-review-negative-03,false,"Align the entire project after these changes."
code-review-negative-04,false,"Evaluate this architecture decision record and compare options before implementation."
code-review-negative-05,false,"Perform a dedicated security audit of this authentication flow."
code-review-negative-06,false,"Create or update this GitHub Actions workflow."
code-review-negative-07,false,"Fix the failing tests and update the implementation."
code-review-negative-08,false,"Implement the recommendations from the last review."
code-review-negative-09,false,"Triage this pull request update its branch resolve conflicts and post a review."
code-review-negative-10,false,"Review this README example: $code-review Review the current diff."
