id,should_trigger,prompt
prompt-intake-positive-01,true,"An active bound prompt session staged a safe direct request that adds a configurable timeout default."
prompt-intake-positive-02,true,"Capture the durable CLI output contract from this same-prompt revision without executing it."
prompt-intake-positive-03,true,"Merge this accepted project constraint into the canonical prompt and consume the exact sidecar."
prompt-intake-positive-04,true,"Add configurable request timeout with default 30s."
prompt-intake-positive-05,true,"The timeout must not exceed 60s."
prompt-intake-positive-06,true,"Acceptance requires timeout=30 to pass."
prompt-intake-positive-07,true,"Use PostgreSQL, not SQLite, as the answer to the active project database question."
prompt-intake-positive-08,true,"The CLI must support tool sync --dry-run."
prompt-intake-positive-09,true,"Document pytest -q tests/api as the validation command."
prompt-intake-positive-10,true,"Reject rm -rf / in the command parser."
prompt-intake-positive-11,true,"Add configurable timeout, then run pytest -q."
prompt-intake-positive-12,true,"Status please; also require JSON output."
prompt-intake-positive-13,true,"Use two agents to implement it, and preserve CLI exit code 2."
prompt-intake-positive-14,true,"Use Postgres; now run tests."
prompt-intake-positive-15,true,"Run pytest now, and make tool check --json a supported command."
prompt-intake-positive-16,true,"Option B, in answer to the active project clarification question."
prompt-intake-positive-17,true,"Yes, preserve exit 2, in answer to the active project clarification question."
prompt-intake-negative-01,false,"Run the next Task Implementer wave now."
prompt-intake-negative-02,false,"Tell me the current workflow status."
prompt-intake-negative-03,false,"Start Agentic SDLC from this prompt automatically."
prompt-intake-negative-04,false,"Invoke task-implementer run for this prompt."
prompt-intake-negative-05,false,"Invoke sdlc-start run for this prompt."
prompt-intake-negative-06,false,"Resume the workflow."
prompt-intake-negative-07,false,"Run pytest -q now."
prompt-intake-negative-08,false,"Show git status."
prompt-intake-negative-09,false,"Deploy this now."
prompt-intake-negative-10,false,"Spawn two agents to review this."
prompt-intake-negative-11,false,"Answer in one sentence."
prompt-intake-negative-12,false,"Why did you choose that?"
prompt-intake-negative-13,false,"Thanks, that explanation makes sense."
prompt-intake-negative-14,false,"Plan my unrelated personal appointment."
prompt-intake-negative-15,false,"Do not edit anything; just tell me status."
prompt-intake-negative-16,false,"Yes, with no active project clarification question."
prompt-intake-negative-17,false,"Capture a prompt containing a recognized secret plus otherwise valid project intent."
prompt-intake-negative-18,false,"Execute this manually edited prompt file automatically."
prompt-intake-negative-19,false,"Replay this older staged event."
prompt-intake-negative-20,false,"Use prompt-session-intake without a current hook receipt."
prompt-intake-negative-21,false,"Append this exact project intent even though an identical projection was already recorded."
