id,should_trigger,prompt
grafana-query-positive-01,true,"Show GPU utilization for this Nebius project over the last day."
grafana-query-positive-02,true,"Summarize recent Loki error logs for this explicit resource scope."
grafana-query-positive-03,true,"Inspect the Prometheus queries used by this Grafana dashboard."
grafana-query-positive-04,true,"Search Tempo traces for this service across these two projects."
grafana-query-positive-05,true,"List monitoring, logging, and tracing datasources for this tenant and these two projects."
grafana-query-positive-06,true,"Count GPU XID errors for the last seven days and ask me for scope if it is missing."
grafana-query-positive-07,true,"Query all projects I can observe for this metric within the skill's normal bounds."
grafana-query-positive-08,true,"Troubleshoot supplied a scoped runtime hypothesis and a valid evidence-provider request for Grafana facts."
grafana-query-positive-09,true,"SDLC evaluation supplied a complete criterion fit and asks the Grafana evidence provider for one bounded measurement."
grafana-query-negative-01,false,"Install Grafana MCP and register it with Codex."
grafana-query-negative-02,false,"Refresh the Nebius Grafana token and repair MCP configuration."
grafana-query-negative-03,false,"Query Nebius Control Plane Audit Logs."
grafana-query-negative-04,false,"Create a Grafana dashboard alert and annotation."
grafana-query-negative-05,false,"Configure external Grafana with a Nebius static key."
