id,should_trigger,prompt
python-project-positive-01,true,"Scaffold a uv-managed Python package with pyproject.toml a committed lockfile src layout Ruff and pytest."
python-project-positive-02,true,"Harden this existing Python CLI project with Typer Pydantic locked dependencies and CI."
python-project-positive-03,true,"Standardize this Python service's pyproject uv lock tests and systemd packaging."
python-project-positive-04,true,"Migrate this Poetry-managed Python library to one uv and uv.lock workflow and remove the old install authority."
python-project-positive-05,true,"Add a runtime dependency and a dev-only test tool to this uv project without upgrading unrelated packages."
python-project-positive-06,true,"Diagnose why this Python project's uv.lock is stale and preserve the resolver conflict before changing constraints."
python-project-negative-01,false,"Write Nebius SDK automation for IAM and VPC resources."
python-project-negative-02,false,"Create a Terraform module for this infrastructure."
python-project-negative-03,false,"Optimize the speed of this existing pytest suite."
python-project-negative-04,false,"Research how uv's universal resolver is implemented and compare it with other Python package managers."
python-project-negative-05,false,"Fix the invoice calculation bug in this application; it happens to use uv already."
python-project-negative-06,false,"Standardize only this repository's GitHub Actions permissions and reusable workflow structure."
