id,should_trigger,prompt
design-rules-positive-01,true,"Review this architecture proposal against reliability ownership and data-boundary rules."
design-rules-positive-02,true,"Compare these system design options and identify their tradeoffs and risks."
design-rules-positive-03,true,"Apply the design checklist to this ADR before implementation."
design-rules-positive-04,true,"Evaluate scaling observability security and cost decisions in this design."
design-rules-positive-05,true,"Review this architecture proposal against system design principles before we implement it."
design-rules-positive-06,true,"Use $system-design-rules to compare these service boundary options and identify the tradeoffs."
design-rules-positive-07,true,"Help me decide whether this workflow should be synchronous, asynchronous, or event-driven."
design-rules-positive-08,true,"Check this ADR for missing reliability, data ownership, observability, security, and cost considerations."
design-rules-positive-09,true,"Before coding, apply a system design checklist to this API and data model proposal."
design-rules-negative-01,false,"Create the complete software design and implementation plan."
design-rules-negative-02,false,"Research one framework's current vendor behavior."
design-rules-negative-03,false,"Review the implemented code diff for bugs."
design-rules-negative-04,false,"Choose the application's technology stack."
design-rules-negative-05,false,"Implement the selected API design."
design-rules-negative-06,false,"Run the full Agentic SDLC workflow for this feature."
design-rules-negative-07,false,"Review this pull request and fix safe issues."
design-rules-negative-08,false,"Create Terraform for this architecture."
design-rules-negative-09,false,"Brainstorm a few wild product ideas without checking a formal checklist yet."
