id,should_trigger,prompt
brainstorm-positive-01,true,"Brainstorm approaches for this feature before we decide what to build."
brainstorm-positive-02,true,"Explore tradeoffs and challenge assumptions about this architecture idea without editing files."
brainstorm-positive-03,true,"Help me think through several product directions using the available project context."
brainstorm-positive-04,true,"Discuss options for this technical proposal and surface unanswered questions."
brainstorm-positive-05,true,"Help me brainstorm whether we should add a quota-aware preflight to this service."
brainstorm-positive-06,true,"Think through the design options for GPU readiness before we change code."
brainstorm-positive-07,true,"Discuss this product idea and gather the local docs, related skills, internal context, and vendor docs that matter."
brainstorm-positive-08,true,"Challenge my assumption that we need a new workflow here after checking the repository context."
brainstorm-positive-09,true,"Use $brainstorm to explore whether this should become an SDLC feature or just a small documentation update."
brainstorm-positive-10,true,"Use $brainstorm to think through this major architecture decision with design advisors while keeping the discussion chat-only."
brainstorm-positive-11,true,"Use $brainstorm to compare conflicting repository and vendor signals and use bounded research only if source priority cannot resolve the conflict."
brainstorm-negative-01,false,"Implement the selected design and run the tests."
brainstorm-negative-02,false,"Produce the final software design and plan for this approved feature."
brainstorm-negative-03,false,"Research one disputed protocol claim with authoritative sources."
brainstorm-negative-04,false,"Review the current diff for defects."
brainstorm-negative-05,false,"Run the Agentic SDLC workflow with feature-prompt.md for this feature."
brainstorm-negative-06,false,"Create the Confluence page and send the Slack update."
brainstorm-negative-07,false,"Commit these changes."
