id,should_trigger,prompt
ai-agent-design-positive-01,true,"Design a production support agent that can search authorized knowledge, draft replies, and require human approval before sending."
ai-agent-design-positive-02,true,"Use $ai-agent-design to choose the right multi-agent coordination pattern for a research system with dynamic parallel subtasks."
ai-agent-design-positive-03,true,"Redesign this agent's context, memory, tool authority, and prompt-injection boundaries without choosing a provider yet."
ai-agent-design-positive-04,true,"Create the logical architecture for a long-running agent workflow that pauses for approval and survives crashes and duplicate delivery."
ai-agent-design-positive-05,true,"Should these specialists be agents-as-tools, deterministic routes, orchestrator-workers, or event-driven participants? Design the contracts too."
ai-agent-design-positive-06,true,"Define risk tiers, exact approval binding, idempotent tool execution, and postcondition verification for this operations agent."
ai-agent-design-positive-07,true,"Classify which parts of this AI workflow truly need agentic control, then design the smallest sufficient agent subsystem."
ai-agent-design-positive-08,true,"Make this agent architecture production ready with evaluation layers, traces, privacy, release identity, rollout, rollback, and incident handling."
ai-agent-design-positive-09,true,"Design a provider-neutral agent subsystem and use $ai-stack for the model, runtime, durability, retrieval, and observability component decisions."
ai-agent-design-negative-01,false,"Select the current model provider, agent framework, vector store, and observability products for this already approved architecture."
ai-agent-design-negative-02,false,"Create the complete product architecture including frontend, API, data model, deployment, and the AI feature."
ai-agent-design-negative-03,false,"Research whether the latest release of one agent framework supports durable human approval."
ai-agent-design-negative-04,false,"Review this completed ADR against a general system-design checklist without redesigning its agent subsystem."
ai-agent-design-negative-05,false,"Implement the approved agent design in this Python repository and add tests."
ai-agent-design-negative-06,false,"Brainstorm unusual product ideas that might use agents; do not settle on an architecture yet."
ai-agent-design-negative-07,false,"Diagnose why our deployed agent intermittently repeats tool calls and corrupts state."
ai-agent-design-negative-08,false,"Review this agent implementation diff for correctness, security regressions, and missing tests."
ai-agent-design-negative-09,false,"Scaffold the approved agent architecture into concrete services, packages, and deployment files."
