id,should_trigger,prompt
security-positive-01,true,"Review this authentication change for security risks and safe low-risk remediations."
security-positive-02,true,"Scan this Terraform and Kubernetes diff for secrets exposure IAM mistakes and unsafe defaults."
security-positive-03,true,"Advise on input validation dependency and supply-chain risks in this patch."
security-positive-04,true,"Perform the security lane for these changed skill scripts and instructions."
security-positive-05,true,"Review this design for security risks before implementation."
security-positive-06,true,"Harden this Terraform module and fix only safe low-risk findings."
security-positive-07,true,"Check this GitHub Actions workflow for token event-trust and supply-chain risks."
security-positive-08,true,"Review these Kubernetes manifests for privilege RBAC public exposure and network-policy risks."
security-positive-09,true,"Scan this diff for secret leakage injection unsafe deserialization and authentication regressions."
security-positive-10,true,"Apply this production IAM policy change now."
security-negative-01,false,"Review this branch for maintainability bad abstractions and file-size growth."
security-negative-02,false,"Align the whole project after this behavior change."
security-negative-03,false,"Create a GitHub Actions workflow that only changes naming and scheduling."
security-negative-04,false,"Scaffold a Terraform module limited to local naming and examples with no security-sensitive decisions."
security-negative-05,false,"Lint these shell scripts for style and formatting only."
security-negative-06,false,"Commit and push this work."
security-negative-07,false,"Design the service architecture before implementation with no security review requested."
security-negative-08,false,"Review this diff for general correctness and maintainability only."
security-negative-09,false,"Lint the Shell Markdown and Python files."
