id,should_trigger,prompt
research-positive-01,true,"Research this protocol claim using authoritative sources and resolve the disagreement."
research-positive-02,true,"Perform senior-engineer due diligence on this one framework and its current tradeoffs."
research-positive-03,true,"Compare the official specifications for this disputed API behavior."
research-positive-04,true,"Investigate one technology choice and separate internal guidance from vendor facts."
research-positive-05,true,"Research Kubernetes Gateway API and explain its internals, limitations, alternatives, and whether we should use it."
research-positive-06,true,"Research Cilium BGP Control Plane for a production cluster design."
research-positive-07,true,"Produce a technical due diligence report on how vLLM performs tensor parallelism."
research-positive-08,true,"Research OpenTelemetry Collector scaling patterns and compare the alternatives."
research-positive-09,true,"Research our Kubernetes upgrade policy using internal context first, then verify technical claims against upstream and vendor documentation."
research-positive-10,true,"Investigate how Slurm preemption works, what breaks operationally, and which design tradeoffs matter."
research-positive-11,true,"Use $research to study this RFC and turn it into actionable design guidance."
research-negative-01,false,"Brainstorm several product directions before choosing a question to research."
research-negative-02,false,"Select the complete AI stack for model providers, inference, agents, MCP, retrieval, evaluation, safety, and operations."
research-negative-03,false,"Compare Pydantic AI and LangGraph and choose which one should own our bounded agent loop."
research-negative-04,false,"Design this new feature and produce a plan handoff."
research-negative-05,false,"Review this ADR against our system design checklist."
research-negative-06,false,"Implement the Gateway API integration."
research-negative-07,false,"Create the Agentic SDLC context pack for this feature."
