id,should_trigger,prompt
worktree-positive-01,true,"Use worktree add to create a full-repository linked child for this monorepo task."
worktree-positive-02,true,"Use worktree integrate from the primary checkout for this exact child."
worktree-positive-03,true,"Use worktree remove after proving the linked worktree is safely integrated."
worktree-positive-04,true,"$worktree"
worktree-positive-05,true,"$worktree add --project services/example-api"
worktree-positive-06,true,"$worktree add --project services/example-api prepare the migration report changes."
worktree-positive-07,true,"$worktree add --project services/example-api --reuse project-migration-report-a7c2f9 and preserve its unfinished changes."
worktree-positive-08,true,"$worktree integrate project-fix-trigger-validation-a7c2f9 from my primary checkout; safely commit its ordinary dirty child and then my dirty source before creating the candidate."
worktree-positive-09,true,"$worktree Create an isolated worktree from my current clean feature branch for the skills project."
worktree-negative-01,false,"Create a temporary directory copy of this project."
worktree-negative-02,false,"Commit and push the current feature branch."
worktree-negative-03,false,"Run parallel agents across these tasks without a worktree workflow."
worktree-negative-04,false,"Agentic SDLC reached outer-integration-pending; continue automatically by calling worktree integrate for me."
worktree-negative-05,false,"I am inside the managed child; silently integrate it into the source from here."
worktree-negative-06,false,"Explain how git worktree differs from cloning a repository."
worktree-negative-07,false,"Review the current pull request and tell me whether it is ready to merge."
worktree-negative-08,false,"Create a normal local commit for the current branch without pushing."
worktree-negative-09,false,"Push this existing feature branch and open a PR."
